datetime,project,type,title,author,url,notes
2025-04-15 08:55:00,posit-connect,blog,Using Service Account identities to query external data sources in published content on Posit Connect,"",https://posit.co/blog/using-service-account-identities-posit-connect/,""
2025-04-11 15:01:26,pointblank-python,blog,posit::glimpse() Newsletter - April 2025,"",https://posit.co/blog/posit-glimpse-newsletter-april-2025/,""
2025-04-08 08:57:00,ellmer,blog,Introducing chores,"",https://posit.co/blog/introducing-chores/,""
2025-03-27 13:51:45,posit-connect,blog,Hadley Wickham on effective R and Python data science workflows,"",https://posit.co/blog/hadley-wickham-on-effective-r-and-python-data-science-workflows/,""
2025-03-25 06:49:00,"",blog,"Text Summarization, Translation, and Classification using LLMs: mall does it all","",https://posit.co/blog/mall-ai-powered-text-analysis/,""
2025-03-24 06:53:00,chatlas,blog,Announcing chatlas: A package for interacting with Large Language Models in Python,"",https://posit.co/blog/announcing-chatlas/,""
2025-03-21 14:08:48,"",blog,Posit Professional Drivers 2025.03.0: Featuring Ubuntu 24.04 Support and More,"",https://posit.co/blog/pro-drivers-2025-03-0/,""
2025-03-20 13:19:00,ellmer,blog,Generate data with an LLM and ellmer,"",https://posit.co/blog/generate-data-with-an-llm-and-ellmer/,""
2025-03-19 08:19:00,posit-connect,blog,Host your Gradio applications on Posit Connect,"",https://posit.co/blog/posit-connect-gradio-support/,""
2025-03-18 10:02:00,posit-workbench,blog,Announcing secure AI-Assisted data science in R with Posit and Snowflake Cortex,"",https://posit.co/blog/ai-assisted-ai-posit-snowflake-cortex/,""
2025-03-18 08:49:00,great-tables,blog,Introducing Pointblank: Data Validation in Python,"",https://posit.co/blog/introducing-pointblank-for-python/,""
2025-03-17 08:58:00,"",blog,Introducing gander,"",https://posit.co/blog/introducing-gander/,""
2025-03-14 13:48:21,posit-connect,blog,Data Science in the Cloud: A Recap of the Snowflake and Posit Webinar,"",https://posit.co/blog/data-science-in-the-cloud-snowflake-posit/,""
2025-03-11 09:23:00,quarto,blog,Creating multilingual documentation with Quarto,"",https://posit.co/blog/creating-multilingual-documentation-with-quarto/,""
2025-03-10 16:45:48,"",blog,Enabling the pharmaceutical programming community to develop ADaM datasets in R: Four Perspectives From the Maintainers,"",https://posit.co/blog/admiral-maintainers-interview/,""
2025-03-10 13:36:24,shiny-r,blog,Posit at ShinyConf 2025,"",https://posit.co/blog/posit-at-shinyconf-2025/,""
2025-03-07 14:30:36,"",blog,Register for R/Pharma at posit::conf(2025),"",https://posit.co/blog/register-for-r-pharma-at-posit-conf-2025/,""
2025-03-04 08:56:00,great-tables,blog,Creating Great Tables in Python: Answering your questions,"",https://posit.co/blog/creating-great-tables-in-python/,""
2025-03-03 00:00:00,"",blog,Reticulate 1.41: Simplifying Python Installation and Package Management,"",https://posit.co/blog/reticulate-1-41/,""
2025-02-27 14:44:29,connect-cloud,blog,Share your data apps and docs more seamlessly on Connect Cloud,"",https://posit.co/blog/share-your-data-apps-and-docs-more-seamlessly-on-connect-cloud/,""
2025-02-25 00:00:00,ellmer,blog,Announcing ellmer: A package for interacting with Large Language Models in R,"",https://posit.co/blog/announcing-ellmer/,""
2025-02-24 14:53:31,quarto,blog,Winners of the Closeread Prize - Data-Driven Scrollytelling with Quarto,"",https://posit.co/blog/closeread-prize-winners/,""
2025-02-20 18:30:24,"",blog,Collaborating Across Pharma: Open Source Highlights from the PHUSE US Connect 2024 Keynote,"",https://posit.co/blog/open-source-highlights-from-the-phuse-us-connect-2024-keynote/,""
